! Data file: C:\Users\palav\OneDrive\Desktop\PbTaSe2\pbtase21.xy
! Format:       1
! position      background_value
       10.53000      526.00000
       11.13000      521.66669
       11.86000      529.33337
       12.75000      577.00000
       13.62000      626.00000
       15.10000      634.66669
       15.55000      698.66669
       16.41000      707.33337
       17.47000      781.00000
       18.11000      918.33337
       19.86000     1100.33337
       20.70000      932.00000
       20.84000      976.33337
       22.50000      891.00000
       23.28000      922.66669
       24.11000      825.66669
       24.66000      804.00000
       25.79000      779.33337
       26.21000      765.66669
       27.34000      810.00000
       28.02000      950.66669
       29.46000      998.33337
       30.41000     1293.66675
       30.91000     1063.33337
       32.33000      876.00000
       33.36000      756.33337
       34.09000      713.66669
       34.28000      709.00000
       35.32000      990.00000
       36.72000      897.33337
       37.56000      892.66669
       37.89000      984.33337
       39.38000     1235.00000
       40.31000      950.33337
       40.57000     1047.66675
       41.47000     2186.66675
       43.21000     1024.33337
       43.51000      922.00000
       44.47000      818.33337
       45.95000      739.33337
       46.75000      615.33337
       47.04000      632.00000
       48.01000      692.33337
       49.01000      797.00000
       50.36000      630.33337
       51.34000      630.33337
       51.35000      619.00000
       52.63000      636.00000
       53.84000      791.33337
       54.76000      610.00000
       55.20000      596.33337
       55.96000      621.00000
       56.78000      798.00000
       57.68000     1024.66675
       58.71000     1144.33337
       60.33000      886.33337
       61.15000      767.00000
       61.32000      765.66669
       62.94000      730.66669
       63.63000      700.66669
       64.32000      671.33337
       64.94000      677.66669
       66.13000      715.00000
       66.64000      826.00000
       68.37000     1203.66675
       69.25000      794.33337
       69.40000      825.33337
       71.09000      651.33337
       71.94000      622.66669
       72.72000      599.00000
       73.29000      608.33337
       74.54000      631.33337
       74.77000      634.00000
       75.76000      676.33337
       76.70000      708.00000
       77.48000      821.33337
       79.10000      771.33337
       79.93000      668.00000
       81.01000      692.66669
       81.36000      661.66669
       81.92000      737.00000
       82.86000      891.66669
       84.48000      774.00000
       85.17000      697.66669
       85.96000      649.66669
       86.81000      746.66669
       88.05000      673.66669
       88.88000      665.33337
       89.14000      729.33337
