! Data file: vanadium.dat
! Format:      0  - Free format
! position      background_value
       10.10000        2.09639
       11.40000        2.17391
       11.93000        2.29693
       13.33000        2.35592
       13.83000        2.48062
       14.61000        2.67105
       15.52000        2.69296
       16.62000        2.80249
       17.30000        3.02663
       18.24000        3.08392
       19.73000        3.09066
       20.07000        3.09740
       21.22000        3.09572
       22.35000        2.93731
       23.22000        2.82946
       23.87000        2.77216
       25.09000        2.66431
       26.09000        2.63566
       26.94000        2.31547
       27.92000        2.07449
       28.73000        1.90091
       29.74000        1.68183
       30.65000        1.54196
       31.16000        1.38524
       32.45000        1.25716
       33.15000        1.23188
       33.87000        1.17627
       34.67000        1.15268
       35.34000        1.08022
       36.33000        1.09538
       36.98000        1.00270
       38.37000        0.98753
       38.98000        0.99090
       39.77000        0.99596
       40.62000        1.26390
       41.47000        2.58005
       43.14000        1.63296
       44.15000        1.14594
       44.66000        0.99764
       45.82000        0.90158
       46.76000        0.91844
       47.71000        0.76845
       48.40000        0.77688
       48.79000        0.72127
       49.84000        0.70442
       50.84000        0.71453
       52.15000        0.62353
       53.08000        0.65049
       53.28000        0.62184
       54.74000        0.62353
       55.56000        0.57971
       56.43000        0.56960
       57.31000        0.59151
       58.24000        0.58814
       58.61000        0.56791
       59.59000        0.68082
       60.34000        0.86619
       62.13000        0.80890
       62.62000        0.62690
       63.42000        0.55949
       64.71000        0.57297
       65.03999        0.54769
       65.93000        0.51230
       66.78999        0.54095
       67.93000        0.57297
       69.27000        0.50219
       69.62000        0.49882
       71.02000        0.51399
       71.58000        0.48534
       72.06000        0.49545
       73.66000        0.53589
       73.86000        0.51230
       74.74000        0.62184
       75.71000        0.73812
       76.52000        2.22952
       78.30000        0.82912
       78.79000        0.67071
       79.93000        0.57128
       80.90000        0.51736
       81.47000        0.49882
       82.52000        0.47860
       83.43000        0.47354
       84.60000        0.45163
       85.48000        0.46006
       85.78000        0.43815
       87.15000        0.44321
       87.50000        0.45501
       88.31000        0.47354
       89.59000        0.47017
